"Code","Name","Continent","Region","SurfaceArea","IndepYear","Population","LifeExpectancy","GNP","GNPOld","LocalName","GovernmentForm","HeadOfState","Capital","Code2","ID","Name","CountryCode","District","Population"
"ARE","United Arab Emirates","Asia","Middle East",83600.00,1971,2441000,74.1,37966.00,36846.00,"Al-Imarat al-´Arabiya al-Muttahida","Emirate Federation","Zayid bin Sultan al-Nahayan",65,"AE",65,"Abu Dhabi","ARE","Abu Dhabi",398695
"ARE","United Arab Emirates","Asia","Middle East",83600.00,1971,2441000,74.1,37966.00,36846.00,"Al-Imarat al-´Arabiya al-Muttahida","Emirate Federation","Zayid bin Sultan al-Nahayan",65,"AE",66,"Sharja","ARE","Sharja",320095
"ARE","United Arab Emirates","Asia","Middle East",83600.00,1971,2441000,74.1,37966.00,36846.00,"Al-Imarat al-´Arabiya al-Muttahida","Emirate Federation","Zayid bin Sultan al-Nahayan",65,"AE",67,"al-Ayn","ARE","Abu Dhabi",225970
"ARE","United Arab Emirates","Asia","Middle East",83600.00,1971,2441000,74.1,37966.00,36846.00,"Al-Imarat al-´Arabiya al-Muttahida","Emirate Federation","Zayid bin Sultan al-Nahayan",65,"AE",68,"Ajman","ARE","Ajman",114395
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",69,"Buenos Aires","ARG","Distrito Federal",2982146
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",70,"La Matanza","ARG","Buenos Aires",1266461
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",71,"Córdoba","ARG","Córdoba",1157507
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",72,"Rosario","ARG","Santa Fé",907718
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",73,"Lomas de Zamora","ARG","Buenos Aires",622013
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",74,"Quilmes","ARG","Buenos Aires",559249
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",75,"Almirante Brown","ARG","Buenos Aires",538918
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",76,"La Plata","ARG","Buenos Aires",521936
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",77,"Mar del Plata","ARG","Buenos Aires",512880
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",78,"San Miguel de Tucumán","ARG","Tucumán",470809
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",79,"Lanús","ARG","Buenos Aires",469735
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",80,"Merlo","ARG","Buenos Aires",463846
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",81,"General San Martín","ARG","Buenos Aires",422542
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",82,"Salta","ARG","Salta",367550
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",83,"Moreno","ARG","Buenos Aires",356993
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",84,"Santa Fé","ARG","Santa Fé",353063
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",85,"Avellaneda","ARG","Buenos Aires",353046
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",86,"Tres de Febrero","ARG","Buenos Aires",352311
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",87,"Morón","ARG","Buenos Aires",349246
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",88,"Florencio Varela","ARG","Buenos Aires",315432
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",89,"San Isidro","ARG","Buenos Aires",306341
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",90,"Tigre","ARG","Buenos Aires",296226
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",91,"Malvinas Argentinas","ARG","Buenos Aires",290335
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",92,"Vicente López","ARG","Buenos Aires",288341
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",93,"Berazategui","ARG","Buenos Aires",276916
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",94,"Corrientes","ARG","Corrientes",258103
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",95,"San Miguel","ARG","Buenos Aires",248700
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",96,"Bahía Blanca","ARG","Buenos Aires",239810
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",97,"Esteban Echeverría","ARG","Buenos Aires",235760
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",98,"Resistencia","ARG","Chaco",229212
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",99,"José C. Paz","ARG","Buenos Aires",221754
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",100,"Paraná","ARG","Entre Rios",207041
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",101,"Godoy Cruz","ARG","Mendoza",206998
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",102,"Posadas","ARG","Misiones",201273
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",103,"Guaymallén","ARG","Mendoza",200595
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",104,"Santiago del Estero","ARG","Santiago del Estero",189947
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",105,"San Salvador de Jujuy","ARG","Jujuy",178748
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",106,"Hurlingham","ARG","Buenos Aires",170028
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",107,"Neuquén","ARG","Neuquén",167296
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",108,"Ituzaingó","ARG","Buenos Aires",158197
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",109,"San Fernando","ARG","Buenos Aires",153036
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",110,"Formosa","ARG","Formosa",147636
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",111,"Las Heras","ARG","Mendoza",145823
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",112,"La Rioja","ARG","La Rioja",138117
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",113,"San Fernando del Valle de Cata","ARG","Catamarca",134935
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",114,"Río Cuarto","ARG","Córdoba",134355
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",115,"Comodoro Rivadavia","ARG","Chubut",124104
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",116,"Mendoza","ARG","Mendoza",123027
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",117,"San Nicolás de los Arroyos","ARG","Buenos Aires",119302
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",118,"San Juan","ARG","San Juan",119152
